

      Longitude          Obliquity        Amplitude
     In       Out       In       Out      (mas)
    (mas)    (mas)     (mas)    (mas)
   0.0003   0.0000    0.0000  -0.0001     0.0002
   0.0000  -0.0015   -0.0007   0.0000     0.0009
  -0.0013   0.0009    0.0004   0.0006     0.0010
   0.0012  -0.0006   -0.0003  -0.0005     0.0008
   0.0000  -0.0003   -0.0001   0.0000     0.0002
  -0.0123  -0.0416   -0.0180   0.0053     0.0256
   0.0000   0.0000   -0.0019   0.0006     0.0020
   0.0000  -0.0086   -0.0019  -0.0006     0.0040
  -0.0089   0.0000    0.0000   0.0038     0.0052
   0.0000  -0.0004    0.0002   0.0000     0.0003
   0.0000  -0.0009   -0.0005   0.0000     0.0006
   0.0007  -0.0032   -0.0017  -0.0004     0.0022
  -0.0005   0.0000    0.0000   0.0000     0.0002
   0.0000   0.0000    0.0000  -0.0035     0.0035
   0.0123  -0.0415   -0.0180  -0.0053     0.0255
   0.0000  -0.0003   -0.0001   0.0000     0.0002
  -0.0011  -0.0006   -0.0003   0.0005     0.0008
   0.0014   0.0009    0.0004  -0.0006     0.0010
   0.0061  -0.0096   -0.0042  -0.0027     0.0068
   0.0011   0.0005    0.0002  -0.0005     0.0007
   0.0000  -0.0020   -0.0009   0.0000     0.0012
   0.0080  -0.0071   -0.0031  -0.0035     0.0063
   0.0000   0.0009    0.0000   0.0000     0.0004
   0.0000   0.0004    0.0002   0.0000     0.0003
   0.0015   0.0000    0.0000   0.0000     0.0006
  -0.0154  -0.0030   -0.0013   0.0067     0.0093
   0.0000   0.0035    0.0000   0.0000     0.0014
   0.0003   0.0000    0.0000  -0.0001     0.0002
   0.0000   0.0003    0.0000   0.0000     0.0001
   0.0054  -0.0015   -0.0007  -0.0024     0.0034
   0.0003   0.0012    0.0006  -0.0001     0.0008
   0.0089   0.0000    0.0000   0.0000     0.0036
   0.0008   0.0034    0.0018  -0.0004     0.0023
   0.0018  -0.0029   -0.0013  -0.0008     0.0020
   0.0008   0.0000    0.0000   0.0000     0.0003
  -0.0003   0.0008    0.0004   0.0001     0.0005
  -0.0006   0.0000   -0.0001   0.0003     0.0004
  -0.0004   0.0021    0.0011   0.0002     0.0014
   0.0393   0.0003    0.0000   0.0000     0.0157
   0.0000  -0.0006   -0.0002   0.0000     0.0003
   0.0003   0.0000    0.0000   0.0000     0.0001
   0.0000  -0.0003   -0.0001   0.0000     0.0002
  -0.0003   0.0000    0.0000   0.0002     0.0002
  -0.0003   0.0000    0.0000   0.0000     0.0001
  -0.0005   0.0019    0.0010   0.0002     0.0013
   0.0117   0.0000    0.0000  -0.0051     0.0069
   0.0000  -0.0114   -0.0049   0.0000     0.0067
  -0.0004   0.0000    0.0000   0.0002     0.0003
   0.0083   0.0015    0.0000   0.0000     0.0034
   0.0000  -0.0006   -0.0002   0.0000     0.0003
   0.0011   0.0004    0.0000   0.0000     0.0005
   0.0017   0.0000    0.0000  -0.0007     0.0010
  -0.0005  -0.0009   -0.0004   0.0002     0.0006
  -0.0003   0.0000    0.0000   0.0001     0.0002
  -0.0005   0.0006    0.0003   0.0002     0.0005
  -0.0004  -0.0028    0.0000   0.0000     0.0011
  -0.0018  -0.0010   -0.0004   0.0008     0.0012
   0.0005   0.0000    0.0000  -0.0002     0.0003
  -0.0013   0.0000    0.0000   0.0006     0.0008
   0.0000  -0.0003    0.0000   0.0000     0.0001
   0.0005   0.0000    0.0000  -0.0002     0.0003
   0.0000  -0.0004   -0.0002   0.0000     0.0003
  -0.0003   0.0000    0.0000   0.0001     0.0002
   0.0027   0.0000    0.0000   0.0000     0.0011
   0.0004   0.0000    0.0000  -0.0002     0.0003
   0.0000  -0.0024   -0.0010   0.0000     0.0014
   0.0113   0.0000    0.0000  -0.0049     0.0067
   0.0000   0.0003    0.0001   0.0000     0.0002
   0.0008  -0.0031   -0.0016  -0.0004     0.0021
   0.0008  -0.0003    0.0000   0.0000     0.0003
   0.0016  -0.0006    0.0000   0.0000     0.0007
   0.0004   0.0000    0.0000  -0.0002     0.0003
   0.0005  -0.0007    0.0000   0.0000     0.0003
   0.0003   0.0000    0.0000  -0.0001     0.0002
  -0.0005  -0.0007   -0.0003   0.0002     0.0005
  -0.0003  -0.0013   -0.0007   0.0001     0.0009
  -0.0598   0.0000    0.0000   0.0000     0.0239
   0.0000   0.0005    0.0003   0.0000     0.0004
   0.0012   0.0055    0.0029  -0.0006     0.0037
   0.0000  -0.0005    0.0000   0.0000     0.0002
   0.0003   0.0000    0.0000  -0.0001     0.0002
   0.0006   0.0000    0.0000  -0.0003     0.0004
  -0.0003  -0.0005   -0.0002   0.0001     0.0003
  -0.0035  -0.0048   -0.0021   0.0015     0.0035
   0.0001   0.0000    0.0000   0.0000     0.0000
   0.0000  -0.0003    0.0000   0.0000     0.0001
   0.0005   0.0000    0.0000  -0.0003     0.0004
   0.0016  -0.0005    0.0000   0.0000     0.0007
   0.0000   0.0004    0.0002   0.0000     0.0003
  -0.0008   0.0035    0.0019   0.0005     0.0024
   0.0202   0.0000    0.0000  -0.0087     0.0119
  -0.0019  -0.0008   -0.0004   0.0008     0.0012
   0.0000  -0.0027   -0.0012   0.0000     0.0016
  -0.0007   0.0000    0.0000   0.0004     0.0005
   0.0000  -0.0004    0.0000   0.0000     0.0002
  -0.0262   0.0000    0.0000   0.0114     0.0155
   0.0000   0.0003    0.0002   0.0000     0.0002
   0.0008   0.0011    0.0000   0.0000     0.0005
   0.0004   0.0000    0.0000  -0.0002     0.0003
   0.0000  -0.0003   -0.0001   0.0000     0.0002
  -0.0074   0.0000    0.0000   0.0032     0.0044
   0.0006   0.0000    0.0000   0.0000     0.0002
  -0.0014   0.0000    0.0000   0.0006     0.0008
  -0.0001   0.0000    0.0000   0.0000     0.0000
  -0.0008   0.0000    0.0000   0.0000     0.0003
  -0.0006   0.0000    0.0000   0.0002     0.0003
   0.0000   0.0005    0.0002   0.0000     0.0003
  -0.0004   0.0000    0.0000   0.0002     0.0003
  -0.0019  -0.0011    0.0000   0.0000     0.0009
   0.0008  -0.0027    0.0000   0.0000     0.0011
  -0.0004   0.0000    0.0000   0.0002     0.0003
  -0.0003   0.0000    0.0000   0.0001     0.0002
   0.0021   0.0003    0.0000   0.0000     0.0008
  -0.0013  -0.0030    0.0000   0.0000     0.0013
  -0.0003   0.0000    0.0000   0.0001     0.0002
   0.0003   0.0000    0.0000  -0.0002     0.0002
   0.0011   0.0000    0.0000  -0.0006     0.0007
  -0.0075   0.0000    0.0000   0.0000     0.0030
  -0.0368   0.0000    0.0000   0.0000     0.0147
  -0.0006   0.0020    0.0000   0.0000     0.0008
   0.0000   0.0003    0.0002   0.0000     0.0002
   0.0003   0.0000    0.0000   0.0000     0.0001
   0.0000   0.0007    0.0003   0.0000     0.0004
  -0.1223  -0.0026    0.0000   0.0000     0.0489
   0.0000  -0.0004   -0.0002   0.0000     0.0003
  -0.0003   0.0000    0.0000   0.0000     0.0001
  -0.0003   0.0000    0.0000   0.0000     0.0001
   0.0000   0.0003    0.0001   0.0000     0.0002
   0.0005   0.0000    0.0000  -0.0002     0.0003
   0.0003   0.0000    0.0000  -0.0002     0.0002
  -0.0005   0.0328    0.0000   0.0000     0.0131
   0.0007   0.0000    0.0000  -0.0004     0.0005
   0.0000  -0.0005   -0.0002   0.0000     0.0003
  -0.0078   0.0045    0.0000   0.0000     0.0036
   0.0010   0.0000    0.0000  -0.0004     0.0006
   0.0015   0.0000    0.0000  -0.0008     0.0010
  -0.0166   0.0269    0.0000   0.0000     0.0126
  -0.0005   0.0000    0.0000   0.0002     0.0003
   0.0000  -0.0004   -0.0002   0.0000     0.0003
  -0.0016   0.0023    0.0000   0.0000     0.0011
   0.0006   0.0000    0.0000  -0.0002     0.0003
   0.0011   0.0000    0.0000  -0.0006     0.0007
   0.0000  -0.0004   -0.0002  -0.0001     0.0003
   0.0000  -0.0003    0.0000   0.0000     0.0001
   0.0009   0.0000    0.0000  -0.0005     0.0006
   0.0000  -0.0045   -0.0020   0.0000     0.0027
  -0.0458   0.0000    0.0000   0.0198     0.0270
   0.0000   0.0009    0.0005   0.0001     0.0006
   0.0014  -0.0059   -0.0031  -0.0008     0.0040
   0.0005  -0.0005    0.0000   0.0000     0.0003
  -0.0028   0.0036    0.0000   0.0000     0.0018
   0.0000  -0.0005   -0.0003   0.0000     0.0004
   0.0118   0.0000    0.0000  -0.0052     0.0070
   0.0000   0.0011    0.0000   0.0000     0.0004
   0.0005   0.0003    0.0001  -0.0002     0.0003
  -0.0003   0.0000    0.0000   0.0000     0.0001
   0.0000  -0.0003   -0.0001   0.0000     0.0002
   0.0004   0.0000    0.0000  -0.0002     0.0003
   0.0000   0.0003    0.0000   0.0000     0.0001
   0.0000   0.0004    0.0002  -0.0001     0.0003
  -0.0019   0.0000    0.0000   0.0010     0.0013
  -0.0004   0.0004    0.0000   0.0000     0.0002
   0.0030  -0.0006   -0.0002  -0.0013     0.0018
  -0.0006  -0.0003   -0.0002   0.0003     0.0004
   0.0000   0.0005    0.0003   0.0000     0.0004
  -0.0007  -0.0032   -0.0017   0.0004     0.0022
   0.1485   0.0000    0.0000   0.0000     0.0594
   0.0005   0.0021    0.0011  -0.0003     0.0014
   0.0025   0.0106    0.0057  -0.0013     0.0073
  -0.0003   0.0000    0.0000   0.0001     0.0002
   0.0000   0.0003    0.0001   0.0000     0.0002
  -0.0011   0.0000    0.0000   0.0005     0.0007
   0.0000   0.0003    0.0000   0.0000     0.0001
   0.0005   0.0000    0.0000  -0.0002     0.0003
  -0.0028   0.0000    0.0000   0.0015     0.0019
   0.0000  -0.0003    0.0000   0.0000     0.0001
   0.0002   0.0001    0.0000   0.0000     0.0001
  -0.0005   0.0000    0.0000   0.0000     0.0002
  -0.0046   0.0014    0.0000   0.0000     0.0019
  -0.0003   0.0013    0.0007   0.0002     0.0009
  -0.0007   0.0028    0.0015   0.0004     0.0019
  -0.0022   0.0093    0.0049   0.0012     0.0063
   0.0490   0.0000    0.0000  -0.0213     0.0289
   0.0003   0.0066    0.0029  -0.0001     0.0039
   0.0003   0.0000    0.0000  -0.0001     0.0002
  -0.0012  -0.0003   -0.0002   0.0006     0.0008
  -0.0025   0.0000    0.0000   0.0000     0.0010
   0.0000  -0.0004    0.0000   0.0000     0.0002
   0.0027   0.0000    0.0000  -0.0014     0.0018
  -0.0068   0.0039    0.0000   0.0000     0.0031
   0.0004   0.0000    0.0000   0.0000     0.0002
   0.0000  -0.0003   -0.0002   0.0000     0.0002
  -0.0016  -0.0003   -0.0001   0.0007     0.0010
  -0.0003  -0.0006   -0.0002   0.0001     0.0003
  -0.0004   0.0000    0.0000   0.0002     0.0003
   0.0022  -0.0087    0.0000   0.0000     0.0036
  -0.0004   0.0000    0.0000   0.0002     0.0003
  -0.0010   0.0000    0.0001   0.0005     0.0006
  -0.0020   0.0034    0.0000   0.0000     0.0016
   0.0000  -0.0003   -0.0002  -0.0001     0.0003
   0.0017   0.0000    0.0000  -0.0007     0.0010
  -0.0009   0.0003    0.0001   0.0004     0.0006
   0.0000   0.0003    0.0001   0.0000     0.0002
   0.0000  -0.0005   -0.0002   0.0000     0.0003
   0.0007   0.0000    0.0000  -0.0004     0.0005
   0.0000   0.0019    0.0010   0.0000     0.0013
   0.0000   0.0022    0.0000   0.0000     0.0009
   0.0003   0.0000    0.0000  -0.0002     0.0002
   0.0016   0.0009    0.0004  -0.0007     0.0011
   0.0005   0.0000    0.0000   0.0000     0.0002
  -0.0006  -0.0010   -0.0004   0.0003     0.0007
   0.0003   0.0005    0.0000   0.0000     0.0002
  -0.0127   0.0021    0.0009   0.0055     0.0076
   0.0000   0.0006    0.0003  -0.0001     0.0004
  -0.0003  -0.0009   -0.0005   0.0002     0.0007
   0.0006   0.0017    0.0009  -0.0003     0.0012
   0.0003  -0.0003   -0.0001  -0.0002     0.0003
   0.0008   0.0614    0.0000   0.0000     0.0246
   0.0018   0.0000    0.0000  -0.0009     0.0012
   0.0030  -0.0003   -0.0002  -0.0016     0.0020
