               In Phase                          Out of phase
       Psi     dPsi/dt   Eps    dEps/dt   Psi   dPsi/dt    Eps  Deps/dt
       (mas)   (mas/c)    (mas)   (mas/c)  (mas)  (mas/c)  (mas)  (mas/c)
      0.0252   0.0000    -0.0108  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.0245   0.0000     0.0104  0.0000  0.0001  0.0000  0.0000  0.0000
      0.0243   0.0000    -0.0104  0.0000 -0.0001  0.0000  0.0000  0.0000
      0.0208   0.0000    -0.0112  0.0000  0.0001  0.0000  0.0000  0.0000
      0.0199   0.0000    -0.0102  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.0208   0.0000     0.0105  0.0000  0.0001  0.0000  0.0000  0.0000
      0.0335   0.0000    -0.0014  0.0000 -0.0002  0.0000  0.0000  0.0000
     -0.0325   0.0000     0.0007  0.0000  0.0001  0.0000  0.0000  0.0000
     -0.0187   0.0000     0.0096  0.0000  0.0000  0.0000  0.0000  0.0000
      0.0197   0.0000    -0.0100  0.0000 -0.0001  0.0000  0.0000  0.0000
     -0.0192   0.0000     0.0094  0.0000  0.0002  0.0000  0.0001  0.0000
     -0.0188   0.0000     0.0083  0.0000  0.0000  0.0000  0.0000  0.0000
      0.0276   0.0000    -0.0002  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.0286   0.0000     0.0006  0.0000  0.0001  0.0000  0.0000  0.0000
      0.0186   0.0000    -0.0079  0.0000 -0.0001  0.0000  0.0000  0.0000
     -0.0219   0.0000     0.0043  0.0000  0.0000  0.0000  0.0000  0.0000
      0.0276   0.0000     0.0002  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.0153   0.0000     0.0084  0.0000 -0.0001  0.0000  0.0000  0.0000
     -0.0156   0.0000     0.0081  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.0154   0.0000     0.0078  0.0000  0.0001  0.0000  0.0000  0.0000
     -0.0174   0.0000     0.0075  0.0000  0.0001  0.0000  0.0000  0.0000
     -0.0163   0.0000     0.0069  0.0000  0.0002  0.0000  0.0001  0.0000
     -0.0228   0.0000     0.0001  0.0000  0.0000  0.0000  0.0000  0.0000
      0.0091   0.0000    -0.0054  0.0000 -0.0004  0.0000 -0.0002  0.0000
      0.0175   0.0000    -0.0075  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.0159   0.0000     0.0069  0.0000  0.0000  0.0000  0.0000  0.0000
