00 Planetary nutation terms

  L  L'   F   D  Om  Lm  Lv  Le  LM  Lj  Ls  Lu  Ln  Pa     Period  
                                                             (days) 
                                                                    
  0   0   0   0   1   0   0   1   0  -2   0   0   0   0      469.68 
  0   0   0   0   0   0   6  -9   0   0   0   0   0   0      484.98 
  0   0   0   0   0   0  -6   9   0   0   0   0   0   1     -485.00 
  0   0   0   0   0   0  -6   9   0   0   0   0   0   2     -485.03 
  0   0   0   0   0   0  -2   4   0   0   0   0   0   2      487.64 
  0   0   1  -1   1   0  -2   3   0   0   0   0   0   0      487.66 
  0   0   0   0   0   0  -2   4   0   0   0   0   0   1      487.66 
  0   0   0   0   0   0   2  -4   0   0   0   0   0   0     -487.69 
  0   0   0   0   0   0   0   1   0  -3   0   0   0   0      488.91 
  0   0   0   0   0   0   0  -1   0   3   0   0   0   1     -488.93 
  0   0   0   0   0   0   0  -1   0   3   0   0   0   2     -488.96 
  0   0   0   0   0   0   0   5  -8   0   0   0   0   0      489.27 
  0   0   0   0   0   0   0  -5   8   0   0   0   0   2     -489.33 
 -2   0   0   2   0   0   4  -4   0   0   0   0   0   0      501.67 
  0   0   0   0   0   0   0  -3   7   0   0   0   0   2      505.99 
  0   0   2  -2   1   0   0  -3   0   3   0   0   0   0     -526.85 
  0   0   0   0   0   0   0  -6  10   0   0   0   0   0     -534.66 
  0   0   0   0   0   0   0  -6  10   0   0   0   0   2     -534.72 
  0   0   0   0   1   0  -1   1   0   0   0   0   0   0     -537.73 
  0   0   0   0   0   0   0   1   0  -4   0   0   0   0      551.10 
  0   0   0   0   0   0   0  -1   0   4   0   0   0   2     -551.16 
  0   0   0   0   0   0   0  -2   5   0   0   0   0   2      554.68 
  0   0   1  -1   1   0   1  -2   0   0   0   0   0   0      583.89 
  0   0   0   0   0   0   1  -1   0   0   0   0   0   1      583.89 
  0   0   0   0   0   0   1  -1   0   0   0   0   0   0      583.92 
  0   0   1  -1   1   0  -1   0   0   0   0   0   0   0     -583.96 
  0   0   0   0   0   0  -1   1   0   0   0   0   0   1     -583.96 
  0   0   0   0   0   0  -1   1   0   0   0   0   0   2     -583.99 
  0   0   0   0   0   0   0  -7  12   0   0   0   0   2     -589.40 
  0   0   0   0   0   0   0  -1   3   0   0   0   0   2      613.74 
  0   0   0   0   0   0   0   1  -3   0   0   0   0   0     -613.82 
  0   0   0   0   0   0   0  -1   0   5   0   0   0   2     -631.49 
  0   0   0   0   1   0   1  -1   0   0   0   0   0   0      638.79 
  0   0  -1   1   0   0   1   0   0   0   0   0   0   0      638.83 
  0   0   0   0   0   0   0   0   1   0   0   0   0   0      686.98 
 -2   0   0   2   0   0   2  -2   0   0   0   0   0   0     -698.43 
  0   0   0   0   0   0   4  -6   0   0   0   0   0   0      727.47 
  0   0   0   0   0   0  -4   6   0   0   0   0   0   1     -727.52 
  0   0   1  -1   1   0  -4   5   0   0   0   0   0   0     -727.52 
  0   0   0   0   0   0  -4   6   0   0   0   0   0   1     -727.52 
  0   0   0   0   0   0  -4   6   0   0   0   0   0   2     -727.58 
  0   0   0   0   0   0  -4   7   0   0   0   0   0   2      733.47 
  0   0   1  -1   1   0  -4   6   0   0   0   0   0   0      733.53 
  0   0   0   0   0   0  -4   7   0   0   0   0   0   1      733.53 
  0   0   0   0   0   0   0   1  -1   0   0   0   0   0      779.94 
  0   0  -1   1   0   0   4  -5   0   0   0   0   0   0      814.71 
